=== APT PACKAGES ===
age | 1.1.1-1ubuntu0.24.04.3
base-files | 13ubuntu10.4
bash | 5.2.21-2ubuntu4
bat | 0.24.0-1build1
bind9-utils | 1:9.18.39-0ubuntu0.24.04.5
bsdutils | 1:2.39.3-9ubuntu6.5
btop | 1.3.0-1
build-essential | 12.10ubuntu1
cloud-init | 24.1.3-0ubuntu3
curl | 8.5.0-2ubuntu10.10
dash | 0.5.12-6ubuntu5
diffutils | 1:3.10-1build1
eatmydata | 131-1ubuntu1
eza | 0.18.2-1
fail2ban | 1.0.2-3ubuntu0.1
fd-find | 9.0.0-1
ffmpeg | 7:6.1.1-3ubuntu5
findutils | 4.9.0-5build1
firejail | 0.9.72-2ubuntu3
fonts-freefont-ttf | 20211204+svn4273-2
fonts-ipafont-gothic | 00303-21ubuntu1
fonts-liberation | 1:2.1.5-3
fonts-noto-color-emoji | 2.047-0ubuntu0.24.04.1
fonts-tlwg-loma-otf | 1:0.7.3-1
fonts-unifont | 1:15.1.01-1build1
fonts-wqy-zenhei | 0.9.45-8
fzf | 0.44.1-1ubuntu0.3
gettext-base | 0.21-14ubuntu2
git | 1:2.43.0-1ubuntu7.3
gnupg | 2.4.4-2ubuntu17.4
grafana | 13.1.0
grep | 3.11-4build1
grub-pc | 2.12-1ubuntu7.3
gzip | 1.12-1ubuntu3.2
hostname | 3.23+nmu2ubuntu2
init | 1.66ubuntu1
inotify-tools | 3.22.6.0-4
jq | 1.7.1-3ubuntu0.24.04.2
libasound2t64 | 1.2.11-1ubuntu0.2
libatk-bridge2.0-0t64 | 2.52.0-1build1
libatk1.0-0t64 | 2.52.0-1build1
libatspi2.0-0t64 | 2.52.0-1build1
libcairo2 | 1.18.0-3build1
libcups2t64 | 2.4.7-1.2ubuntu7.14
libdbus-1-3 | 1.14.10-4ubuntu4.1
libdrm2 | 2.4.125-1ubuntu0.1~24.04.2
libeatmydata1 | 131-1ubuntu1
libffi-dev | 3.4.6-1build1
libfontconfig1 | 2.15.0-1.1ubuntu2
libfreetype6 | 2.13.2+dfsg-1ubuntu0.1
libgbm1 | 25.2.8-0ubuntu0.24.04.2
libglib2.0-0t64 | 2.80.0-6ubuntu3.8
libnspr4 | 2:4.35-1.1build1
libnss3 | 2:3.98-1ubuntu0.2
libpango-1.0-0 | 1.52.1+ds-1build1
libwrap0 | 7.6.q-33
libx11-6 | 2:1.8.7-1build1
libxcb1 | 1.15-1ubuntu2
libxcomposite1 | 1:0.4.5-1build3
libxdamage1 | 1:1.1.6-1build1
libxext6 | 2:1.3.4-1build2
libxfixes3 | 1:6.0.0-2build1
libxkbcommon0 | 1.6.0-1build1
libxrandr2 | 2:1.5.2-2build1
linux-virtual | 6.8.0-134.134
login | 1:4.13+dfsg1-4ubuntu3.2
loki | 3.7.2
monarx-agent | 4.3.38-master
monarx-protect | 5.2.33-master
monarx-protect-autodetect | 5.2.33-master
ncurses-base | 6.4+20240113-1ubuntu2.1
ncurses-bin | 6.4+20240113-1ubuntu2.1
ncurses-term | 6.4+20240113-1ubuntu2.1
net-tools | 2.10-0.1ubuntu4.4
nodejs | 18.19.1+dfsg-6ubuntu5
npm | 9.2.0~ds1-2
openssh-server | 1:9.6p1-3ubuntu13.16
openssh-sftp-server | 1:9.6p1-3ubuntu13.16
postgresql | 16+257build1.1
postgresql-16-pg-search | 0.24.0
postgresql-16-pgvector | 0.6.0-1
postgresql-client | 16+257build1.1
postgresql-contrib | 16+257build1.1
prometheus | 2.45.3+ds-2ubuntu0.3
prometheus-node-exporter | 1.7.0-1ubuntu0.3
promtail | 3.6.11
python-babel-localedata | 2.10.3-3build1
python3-babel | 2.10.3-3build1
python3-dev | 3.12.3-0ubuntu2.1
python3-jinja2 | 3.1.2-1ubuntu1.3
python3-json-pointer | 2.0-0ubuntu1
python3-jsonpatch | 1.32-3
python3-jsonschema | 4.10.3-2ubuntu1
python3-markupsafe | 2.1.5-1build2
python3-pyrsistent | 0.20.0-1build2
python3-serial | 3.5-2
python3-tz | 2024.1-2
qemu-guest-agent | 1:8.2.2+ds-0ubuntu1.17
redis-server | 5:7.0.15-1ubuntu0.24.04.4
ripgrep | 14.1.0-1
shim-signed | 1.58+15.8-0ubuntu1
ssh-import-id | 5.11-0ubuntu2.24.04.1
tailscale | 1.98.8
tailscale-archive-keyring | 1.35.181
tree | 2.1.1-2ubuntu3.24.04.2
ubuntu-minimal | 1.539.2
ubuntu-server | 1.539.2
ubuntu-standard | 1.539.2
ufw | 0.36.2-6
unattended-upgrades | 2.9.1+nmu4ubuntu1
util-linux | 2.39.3-9ubuntu6.5
wget | 1.21.4-1ubuntu4.1
xfonts-cyrillic | 1:1.0.5+nmu1
xfonts-scalable | 1:1.0.3-1.3
xvfb | 2:21.1.12-1ubuntu1.6
zoxide | 0.9.3-1
zsh | 5.9-6ubuntu2

=== LOCAL BINARIES ===
dbmate
sops
yt-dlp
admin
assistant
env
env.fish
hermes
uv
uvx
