=== APT PACKAGES ===
age | 1.1.1-1ubuntu0.24.04.3
base-files | 13ubuntu10.4
bash | 5.2.21-2ubuntu4
bat | 0.24.0-1build1
bind9-utils | 1:9.18.39-0ubuntu0.24.04.5
bsdutils | 1:2.39.3-9ubuntu6.5
btop | 1.3.0-1
cloud-init | 24.1.3-0ubuntu3
curl | 8.5.0-2ubuntu10.9
dash | 0.5.12-6ubuntu5
diffutils | 1:3.10-1build1
eatmydata | 131-1ubuntu1
eza | 0.18.2-1
fail2ban | 1.0.2-3ubuntu0.1
fd-find | 9.0.0-1
findutils | 4.9.0-5build1
firejail | 0.9.72-2ubuntu3
fzf | 0.44.1-1ubuntu0.3
git | 1:2.43.0-1ubuntu7.3
gnupg | 2.4.4-2ubuntu17.4
grafana | 13.0.2
grep | 3.11-4build1
grub-pc | 2.12-1ubuntu7.3
gzip | 1.12-1ubuntu3.1
hostname | 3.23+nmu2ubuntu2
init | 1.66ubuntu1
inotify-tools | 3.22.6.0-4
jq | 1.7.1-3ubuntu0.24.04.2
libeatmydata1 | 131-1ubuntu1
libwrap0 | 7.6.q-33
linux-virtual | 6.8.0-124.124
login | 1:4.13+dfsg1-4ubuntu3.2
monarx-protect-autodetect | 5.2.24-master
ncal | 12.1.8
ncurses-base | 6.4+20240113-1ubuntu2
ncurses-bin | 6.4+20240113-1ubuntu2
ncurses-term | 6.4+20240113-1ubuntu2
net-tools | 2.10-0.1ubuntu4.4
nodejs | 18.19.1+dfsg-6ubuntu5
npm | 9.2.0~ds1-2
openssh-server | 1:9.6p1-3ubuntu13.16
openssh-sftp-server | 1:9.6p1-3ubuntu13.16
postgresql | 16+257build1.1
postgresql-16-pg-search | 0.24.0
postgresql-16-pgvector | 0.6.0-1
postgresql-contrib | 16+257build1.1
prometheus | 2.45.3+ds-2ubuntu0.3
prometheus-node-exporter | 1.7.0-1ubuntu0.3
python-babel-localedata | 2.10.3-3build1
python3-babel | 2.10.3-3build1
python3-jinja2 | 3.1.2-1ubuntu1.3
python3-json-pointer | 2.0-0ubuntu1
python3-jsonpatch | 1.32-3
python3-jsonschema | 4.10.3-2ubuntu1
python3-markupsafe | 2.1.5-1build2
python3-pyrsistent | 0.20.0-1build2
python3-serial | 3.5-2
python3-tz | 2024.1-2
qemu-guest-agent | 1:8.2.2+ds-0ubuntu1.17
redis-server | 5:7.0.15-1ubuntu0.24.04.4
ripgrep | 14.1.0-1
shim-signed | 1.58+15.8-0ubuntu1
ssh-import-id | 5.11-0ubuntu2.24.04.1
tailscale | 1.98.4
tailscale-archive-keyring | 1.35.181
ubuntu-minimal | 1.539.2
ubuntu-server | 1.539.2
ubuntu-standard | 1.539.2
ufw | 0.36.2-6
unattended-upgrades | 2.9.1+nmu4ubuntu1
util-linux | 2.39.3-9ubuntu6.5
wget | 1.21.4-1ubuntu4.1
zoxide | 0.9.3-1
zsh | 5.9-6ubuntu2

=== LOCAL BINARIES ===
dbmate
sops
yt-dlp
env
env.fish
uv
uvx
